id,time,operator,action,target,detail,ip
AL0151,2026-08-30T23:31:41,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0152,2026-08-31T00:03:58,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0153,2026-08-31T00:14,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0154,2026-08-31T00:14:39,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0155,2026-08-31T00:14:40,李明,LOGOUT,,退出登录,0:0:0:0:0:0:0:1
AL0156,2026-08-31T00:14:40,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0157,2026-08-31T00:14:41,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0158,2026-08-31T00:14:41,李明,PRIVACY_CONSENT,consent/v1.0,同意隐私授权,0:0:0:0:0:0:0:1
AL0159,2026-08-31T00:14:42,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0160,2026-08-31T00:14:43,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0161,2026-08-31T00:14:44,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0162,2026-08-31T00:14:44,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0163,2026-08-31T02:19:11,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0164,2026-08-31T02:24:37,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0165,2026-08-31T02:25:05,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0166,2026-08-31T02:27:15,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0167,2026-08-31T02:37:52,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0168,2026-08-31T02:39:09,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0169,2026-08-31T02:41:34,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0170,2026-08-31T02:44:25,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0171,2026-08-31T02:45:54,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0172,2026-08-31T02:47:21,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0173,2026-08-31T02:49:56,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
