id,time,operator,action,target,detail,ip
AL0062,2026-08-22T10:52:24,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0063,2026-08-30T13:21:57,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0064,2026-08-30T13:21:58,李明,LOGOUT,,退出登录,0:0:0:0:0:0:0:1
AL0065,2026-08-30T13:25:32,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0066,2026-08-30T13:26:09,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0067,2026-08-30T13:26:12,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0068,2026-08-30T13:26:12,李明,LOGOUT,,退出登录,0:0:0:0:0:0:0:1
AL0069,2026-08-30T13:28:59,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0070,2026-08-30T13:28:59,李明,LOGOUT,,退出登录,0:0:0:0:0:0:0:1
AL0071,2026-08-30T13:36:26,测试同学A,REGISTER,sys_user/S1004,学号注册,0:0:0:0:0:0:0:1
AL0072,2026-08-30T13:43:39,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0073,2026-08-30T13:44:20,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0074,2026-08-30T13:45:39,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0075,2026-08-30T13:47:29,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0076,2026-08-30T13:47:30,李明,LOGOUT,,退出登录,0:0:0:0:0:0:0:1
AL0077,2026-08-30T13:47:30,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0078,2026-08-30T13:55:52,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0079,2026-08-30T13:58,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0080,2026-08-30T13:58,李明,PRIVACY_CONSENT,consent/v1.0,同意隐私授权,0:0:0:0:0:0:0:1
